DE_solar_generation_actual,DE_wind_generation_actual,DE_wind_offshore_generation_actual,DE_wind_onshore_generation_actual,cumulated hours,lat,lon,v1,v2,v_50m,h1,h2,z0,SWTDN,SWGDN,T,rho,p,dt,v1-1d,v2-1d,v_50m-1d,h1-1d,h2-1d,z0-1d,SWTDN-1d,SWGDN-1d,T-1d,rho-1d,p-1d,day_of_year,month,day_of_week,hr_of_day,day_of_month
0.0,8579.0,2286.0,6294.0,0.0,51.25,10.3125,2.6167578125,3.7144140625,5.1325,2.546875,10.546875,0.164369735164,0.0,0.0,275.296747208,1.25318479538,99281.0078125,2016-01-01 00:00:00,,,,,,,,,,,,1,1,4,0,1
0.0,8542.0,2229.0,6314.0,1.0,51.25,10.3125,2.564375,3.6310546875,4.97609375,2.546875,10.546875,0.164330885509,0.0,0.0,275.255472898,1.2537779808,99288.4921875,2016-01-01 01:00:00,,,,,,,,,,,,1,1,4,1,1
0.0,8443.0,2012.0,6431.0,2.0,51.25,10.3125,2.480859375,3.516328125,4.7946875,2.546875,10.546875,0.164287718242,0.0,0.0,275.217088819,1.25430369377,99296.3984375,2016-01-01 02:00:00,,,,,,,,,,,,1,1,4,2,1
0.0,8295.0,1943.0,6352.0,3.0,51.25,10.3125,2.3971484375,3.4049609375,4.6640234375,2.546875,10.546875,0.164239130677,0.0,0.0,275.21171450599996,1.25456166267,99306.6953125,2016-01-01 03:00:00,,,,,,,,,,,,1,1,4,3,1
0.0,7319.0,1582.0,5736.0,4.0,51.25,10.3125,2.305703125,3.2866015625,4.5662890625,2.546875,10.546875,0.164198959474,0.0,0.0,275.193369031,1.25473332405,99319.75,2016-01-01 04:00:00,,,,,,,,,,,,1,1,4,4,1
0.0,6574.0,1330.0,5245.0,5.0,51.25,10.3125,2.2072265625,3.1603125,4.445078125,2.546875,10.546875,0.164153242945,0.0,0.0,275.184228063,1.25496864319,99336.7109375,2016-01-01 05:00:00,,,,,,,,,,,,1,1,4,5,1
0.0,5624.0,952.0,4672.0,6.0,51.25,10.3125,2.0993359375,3.0271484375,4.2917578125,2.546875,10.546875,0.164116482712,0.0295034961973,0.0024062778102199997,275.15131402,1.2552472353,99357.078125,2016-01-01 06:00:00,,,,,,,,,,,,1,1,4,6,1
137.0,4644.0,651.0,3993.0,7.0,51.25,10.3125,2.0019921875,2.90375,4.1168359375,2.54296875,10.54296875,0.16406752285099999,32.701265381,4.88514691056,275.175961018,1.25548696518,99383.765625,2016-01-01 07:00:00,,,,,,,,,,,,1,1,4,7,1
964.0,3733.0,443.0,3290.0,8.0,51.25,10.3125,2.0618359375,2.9159765625,3.8552734375,2.54296875,10.54296875,0.164030521173,167.523132324,34.3305358887,275.612766743,1.25529503822,99415.40625,2016-01-01 08:00:00,,,,,,,,,,,,1,1,4,8,1
2522.0,2776.0,308.0,2468.0,9.0,51.25,10.3125,2.1125390625,2.905078125,3.583515625,2.54296875,10.54296875,0.163994571772,287.432617188,78.5435791016,276.16069173799997,1.25425052643,99436.265625,2016-01-01 09:00:00,,,,,,,,,,,,1,1,4,9,1
3768.0,1830.0,174.0,1656.0,10.0,51.25,10.3125,2.04796875,2.7766015625,3.3403515625,2.54296875,10.54296875,0.16395066049499998,358.45214843800005,116.500274658,276.698254585,1.25232172012,99428.96875,2016-01-01 10:00:00,,,,,,,,,,,,1,1,4,10,1
4121.0,1287.0,133.0,1154.0,11.0,51.25,10.3125,1.9115234375,2.5825390625,3.0927734375,2.54296875,10.54296875,0.16391194634700001,375.73828125,134.623901367,277.15694046,1.25001728535,99399.4375,2016-01-01 11:00:00,,,,,,,,,,,,1,1,4,11,1
3717.0,790.0,84.0,706.0,12.0,51.25,10.3125,1.7314453125,2.361875,2.8674609375,2.54296875,10.54296875,0.163870012733,338.113037109,124.632446289,277.41381073,1.24816703796,99369.2890625,2016-01-01 12:00:00,,,,,,,,,,,,1,1,4,12,1
2442.0,496.0,48.0,447.0,13.0,51.25,10.3125,1.426953125,2.038046875,2.688203125,2.54296875,10.54296875,0.163833067632,248.132080078,87.31874084469999,277.30679512,1.24725389481,99346.1484375,2016-01-01 13:00:00,,,,,,,,,,,,1,1,4,13,1
841.0,405.0,6.0,398.0,14.0,51.25,10.3125,1.09140625,1.7616796875,2.7426171875,2.54296875,10.54296875,0.163795240162,113.05987548799999,33.6676616669,276.54549121900004,1.24736833572,99328.453125,2016-01-01 14:00:00,,,,,,,,,,,,1,1,4,14,1
51.0,665.0,2.0,663.0,15.0,51.25,10.3125,1.112890625,1.8743359375,3.11078125,2.54296875,10.54296875,0.16375967906400002,8.46168734252,1.8559637423500002,275.706388593,1.24808657169,99311.734375,2016-01-01 15:00:00,,,,,,,,,,,,1,1,4,15,1
0.0,1298.0,5.0,1294.0,16.0,51.25,10.3125,1.3710546875,2.2134375,3.5492578125,2.54296875,10.54296875,0.163721081099,0.0,0.0,275.48661673099997,1.24908971786,99289.90625,2016-01-01 16:00:00,,,,,,,,,,,,1,1,4,16,1
0.0,2146.0,94.0,2052.0,17.0,51.25,10.3125,1.671875,2.6001953125,4.0129296875,2.54296875,10.54296875,0.16368685345200001,0.0,0.0,275.280496955,1.25016474724,99255.3125,2016-01-01 17:00:00,,,,,,,,,,,,1,1,4,17,1
0.0,3371.0,266.0,3105.0,18.0,51.25,10.3125,1.950234375,2.9673046875,4.4681640625,2.54296875,10.54296875,0.163660326474,0.0,0.0,275.041161418,1.25120949745,99210.7109375,2016-01-01 18:00:00,,,,,,,,,,,,1,1,4,18,1
0.0,4383.0,610.0,3772.0,19.0,51.25,10.3125,2.1943359375,3.2881640625,4.867109375,2.54296875,10.54296875,0.163623967873,0.0,0.0,274.800642848,1.2522380352,99158.8671875,2016-01-01 19:00:00,,,,,,,,,,,,1,1,4,19,1
0.0,5409.0,907.0,4502.0,20.0,51.25,10.3125,2.4128125,3.5664453125,5.1984765625,2.54296875,10.54296875,0.163597171627,0.0,0.0,274.572911263,1.2531782388700001,99098.53125,2016-01-01 20:00:00,,,,,,,,,,,,1,1,4,20,1
0.0,6180.0,1191.0,4989.0,21.0,51.25,10.3125,2.611875,3.809375,5.486484375,2.54296875,10.54296875,0.163560886136,0.0,0.0,274.35660231099996,1.25397968292,99038.3828125,2016-01-01 21:00:00,,,,,,,,,,,,1,1,4,21,1
0.0,6958.0,1452.0,5507.0,22.0,51.25,10.3125,2.84046875,4.1014453125,5.783359375,2.54296875,10.54296875,0.163531413036,0.0,0.0,274.167320013,1.25468027592,98987.7265625,2016-01-01 22:00:00,,,,,,,,,,,,1,1,4,22,1
0.0,7462.0,1656.0,5805.0,23.0,51.25,10.3125,3.0756640625,4.406796875,6.0748828125,2.54296875,10.54296875,0.16350413972,0.0,0.0,273.999309063,1.25522613525,98935.3046875,2016-01-01 23:00:00,,,,,,,,,,,,1,1,4,23,1
0.0,8763.0,2160.0,6602.0,24.0,51.25,10.3125,3.3191796875,4.7223046875,6.3772265625,2.54296875,10.54296875,0.163477499704,0.0,0.0,273.850662351,1.25563335419,98881.6015625,2016-01-02 00:00:00,2.6167578125,3.7144140625,5.1325,2.546875,10.546875,0.164369735164,0.0,0.0,275.296747208,1.25318479538,99281.0078125,2,1,5,0,2
0.0,10716.0,2510.0,8205.0,25.0,51.25,10.3125,3.566015625,5.0476953125,6.7188671875,2.54296875,10.54296875,0.163452251549,0.0,0.0,273.711138487,1.2560095787,98836.3125,2016-01-02 01:00:00,2.564375,3.6310546875,4.97609375,2.546875,10.546875,0.164330885509,0.0,0.0,275.255472898,1.2537779808,99288.4921875,2,1,5,1,2
0.0,11949.0,2728.0,9221.0,26.0,51.25,10.3125,3.7932421875,5.346484375,7.072734375,2.54296875,10.54296875,0.163426124224,0.0,0.0,273.544911981,1.25632536411,98788.359375,2016-01-02 02:00:00,2.480859375,3.516328125,4.7946875,2.546875,10.546875,0.164287718242,0.0,0.0,275.217088819,1.25430369377,99296.3984375,2,1,5,2,2
0.0,13451.0,2782.0,10670.0,27.0,51.25,10.3125,3.9840625,5.601171875,7.382890625,2.54296875,10.54296875,0.163404602291,0.0,0.0,273.364545465,1.25652694702,98738.9453125,2016-01-02 03:00:00,2.3971484375,3.4049609375,4.6640234375,2.546875,10.546875,0.164239130677,0.0,0.0,275.21171450599996,1.25456166267,99306.6953125,2,1,5,3,2
0.0,14640.0,2810.0,11830.0,28.0,51.25,10.3125,4.1777734375,5.858046875,7.6844140625,2.54296875,10.54296875,0.163385654533,0.0,0.0,273.206218719,1.2567853927600001,98693.0078125,2016-01-02 04:00:00,2.305703125,3.2866015625,4.5662890625,2.546875,10.546875,0.164198959474,0.0,0.0,275.193369031,1.25473332405,99319.75,2,1,5,4,2
0.0,15480.0,2812.0,12668.0,29.0,51.25,10.3125,4.4139453125,6.173046875,8.0276171875,2.54296875,10.54296875,0.16336314539799998,0.0,0.0,273.072525024,1.25721430779,98659.4296875,2016-01-02 05:00:00,2.2072265625,3.1603125,4.445078125,2.546875,10.546875,0.164153242945,0.0,0.0,275.184228063,1.25496864319,99336.7109375,2,1,5,5,2
0.0,16062.0,2800.0,13263.0,30.0,51.25,10.3125,4.6108203125,6.435703125,8.298984375,2.54296875,10.54296875,0.16335095066,0.0345590673496,0.00678597809747,272.931240201,1.25783967972,98635.90625,2016-01-02 06:00:00,2.0993359375,3.0271484375,4.2917578125,2.546875,10.546875,0.164116482712,0.0295034961973,0.0024062778102199997,275.15131402,1.2552472353,99357.078125,2,1,5,6,2
106.0,16588.0,2805.0,13783.0,31.0,51.25,10.3125,4.8433984375,6.73984375,8.5826171875,2.54296875,10.54296875,0.163322515518,33.591126111,7.8627768773,272.862832546,1.25859975815,98625.171875,2016-01-02 07:00:00,2.0019921875,2.90375,4.1168359375,2.54296875,10.54296875,0.16406752285099999,32.701265381,4.88514691056,275.175961018,1.25548696518,99383.765625,2,1,5,7,2
593.0,17324.0,2791.0,14533.0,32.0,51.25,10.3125,5.1301953125,7.093671875,8.80515625,2.54296875,10.54296875,0.16330299499700002,169.26306328200002,43.10206604,273.124636889,1.2586119175,98622.3671875,2016-01-02 08:00:00,2.0618359375,2.9159765625,3.8552734375,2.54296875,10.54296875,0.164030521173,167.523132324,34.3305358887,275.612766743,1.25529503822,99415.40625,2,1,5,8,2
1341.0,17888.0,2771.0,15116.0,33.0,51.25,10.3125,5.352578125,7.368359375,8.99046875,2.54296875,10.54296875,0.16326691183599998,289.254882812,82.1021575928,273.486023426,1.25785303116,98615.4140625,2016-01-02 09:00:00,2.1125390625,2.905078125,3.583515625,2.54296875,10.54296875,0.163994571772,287.432617188,78.5435791016,276.16069173799997,1.25425052643,99436.265625,2,1,5,9,2
1866.0,18265.0,2767.0,15498.0,34.0,51.25,10.3125,5.4794921875,7.5222265625,9.1,2.54296875,10.54296875,0.163231869893,360.32910156199995,113.06506347700001,273.852528334,1.2564404010799999,98591.484375,2016-01-02 10:00:00,2.04796875,2.7766015625,3.3403515625,2.54296875,10.54296875,0.16395066049499998,358.45214843800005,116.500274658,276.698254585,1.25232172012,99428.96875,2,1,5,10,2
2043.0,18329.0,2765.0,15564.0,35.0,51.25,10.3125,5.515390625,7.565390625,9.1435546875,2.54296875,10.54296875,0.163203291329,377.626464844,120.32208252,274.139658451,1.25478482246,98554.5078125,2016-01-02 11:00:00,1.9115234375,2.5825390625,3.0927734375,2.54296875,10.54296875,0.16391194634700001,375.73828125,134.623901367,277.15694046,1.25001728535,99399.4375,2,1,5,11,2
1869.0,18394.0,2756.0,15638.0,36.0,51.25,10.3125,5.48109375,7.533125,9.1608984375,2.54296875,10.54296875,0.163161173196,339.982910156,101.18173217799999,274.218933344,1.2536966800700002,98521.953125,2016-01-02 12:00:00,1.7314453125,2.361875,2.8674609375,2.54296875,10.54296875,0.163870012733,338.113037109,124.632446289,277.41381073,1.24816703796,99369.2890625,2,1,5,12,2
1178.0,18540.0,2760.0,15779.0,37.0,51.25,10.3125,5.3820703125,7.42453125,9.1983984375,2.54296875,10.54296875,0.163128602983,249.96142578099997,62.7784729004,274.004190564,1.25377583504,98504.78125,2016-01-02 13:00:00,1.426953125,2.038046875,2.688203125,2.54296875,10.54296875,0.163833067632,248.132080078,87.31874084469999,277.30679512,1.24725389481,99346.1484375,2,1,5,13,2
382.0,18754.0,2770.0,15984.0,38.0,51.25,10.3125,5.2398828125,7.27328125,9.2811328125,2.54296875,10.54296875,0.163094669314,114.72681733200001,20.4389190674,273.47684836400003,1.25507330894,98495.8203125,2016-01-02 14:00:00,1.09140625,1.7616796875,2.7426171875,2.54296875,10.54296875,0.163795240162,113.05987548799999,33.6676616669,276.54549121900004,1.24736833572,99328.453125,2,1,5,14,2
28.0,19192.0,2748.0,16444.0,39.0,51.25,10.3125,5.1967578125,7.2485546875,9.4495703125,2.54296875,10.54296875,0.163064079093,8.82495816174,0.986194561468,272.868656397,1.25719356537,98501.828125,2016-01-02 15:00:00,1.112890625,1.8743359375,3.11078125,2.54296875,10.54296875,0.16375967906400002,8.46168734252,1.8559637423500002,275.706388593,1.24808657169,99311.734375,2,1,5,15,2
0.0,19913.0,2730.0,17182.0,40.0,51.25,10.3125,5.2962890625,7.386484375,9.5811328125,2.54296875,10.54296875,0.163035517291,0.0,0.0,272.491566777,1.25937950611,98518.546875,2016-01-02 16:00:00,1.3710546875,2.2134375,3.5492578125,2.54296875,10.54296875,0.163721081099,0.0,0.0,275.48661673099997,1.24908971786,99289.90625,2,1,5,16,2
0.0,20215.0,2726.0,17489.0,41.0,51.25,10.3125,5.3501953125,7.45109375,9.5906640625,2.54296875,10.54296875,0.163004206226,0.0,0.0,272.192296743,1.26140761375,98537.65625,2016-01-02 17:00:00,1.671875,2.6001953125,4.0129296875,2.54296875,10.54296875,0.16368685345200001,0.0,0.0,275.280496955,1.25016474724,99255.3125,2,1,5,17,2
0.0,20108.0,2725.0,17382.0,42.0,51.25,10.3125,5.3443359375,7.43328125,9.5146484375,2.54296875,10.54296875,0.162972278626,0.0,0.0,271.925272107,1.26309216022,98548.1484375,2016-01-02 18:00:00,1.950234375,2.9673046875,4.4681640625,2.54296875,10.54296875,0.163660326474,0.0,0.0,275.041161418,1.25120949745,99210.7109375,2,1,5,18,2
0.0,19693.0,2730.0,16963.0,43.0,51.25,10.3125,5.321328125,7.3928515625,9.4340234375,2.54296875,10.54296875,0.162931240828,0.0,0.0,271.710412979,1.26429605484,98549.234375,2016-01-02 19:00:00,2.1943359375,3.2881640625,4.867109375,2.54296875,10.54296875,0.163623967873,0.0,0.0,274.800642848,1.2522380352,99158.8671875,2,1,5,19,2
0.0,19202.0,2724.0,16478.0,44.0,51.25,10.3125,5.2692578125,7.314453125,9.3171875,2.54296875,10.54296875,0.162900691585,0.0,0.0,271.541901827,1.26513659954,98544.1953125,2016-01-02 20:00:00,2.4128125,3.5664453125,5.1984765625,2.54296875,10.54296875,0.163597171627,0.0,0.0,274.572911263,1.2531782388700001,99098.53125,2,1,5,20,2
