DE_wind_generation_actual,cumulated hours,v1,v2,v_50m,h1,h2,z0,SWTDN,SWGDN,T,rho,p,v1-1d,v2-1d,v_50m-1d,h1-1d,h2-1d,z0-1d,SWTDN-1d,SWGDN-1d,T-1d,rho-1d,p-1d,day_of_year,month,day_of_week,hr_of_day,day_of_month
8763,24,3.319179688,4.722304688,6.377226563,2.54296875,10.54296875,0.1634775,0,0,273.8506624,1.255633354,98881.60156,2.616757813,3.714414063,5.1325,2.546875,10.546875,0.164369735,0,0,275.2967472,1.253184795,99281.00781,2,1,5,0,2
10716,25,3.566015625,5.047695313,6.718867188,2.54296875,10.54296875,0.163452252,0,0,273.7111385,1.256009579,98836.3125,2.564375,3.631054688,4.97609375,2.546875,10.546875,0.164330886,0,0,275.2554729,1.253777981,99288.49219,2,1,5,1,2
11949,26,3.793242188,5.346484375,7.072734375,2.54296875,10.54296875,0.163426124,0,0,273.544912,1.256325364,98788.35938,2.480859375,3.516328125,4.7946875,2.546875,10.546875,0.164287718,0,0,275.2170888,1.254303694,99296.39844,2,1,5,2,2
13451,27,3.9840625,5.601171875,7.382890625,2.54296875,10.54296875,0.163404602,0,0,273.3645455,1.256526947,98738.94531,2.397148438,3.404960938,4.664023438,2.546875,10.546875,0.164239131,0,0,275.2117145,1.254561663,99306.69531,2,1,5,3,2
14640,28,4.177773438,5.858046875,7.684414063,2.54296875,10.54296875,0.163385655,0,0,273.2062187,1.256785393,98693.00781,2.305703125,3.286601563,4.566289063,2.546875,10.546875,0.164198959,0,0,275.193369,1.254733324,99319.75,2,1,5,4,2
15480,29,4.413945313,6.173046875,8.027617188,2.54296875,10.54296875,0.163363145,0,0,273.072525,1.257214308,98659.42969,2.207226563,3.1603125,4.445078125,2.546875,10.546875,0.164153243,0,0,275.1842281,1.254968643,99336.71094,2,1,5,5,2
16062,30,4.610820313,6.435703125,8.298984375,2.54296875,10.54296875,0.163350951,0.034559067,0.006785978,272.9312402,1.25783968,98635.90625,2.099335938,3.027148438,4.291757813,2.546875,10.546875,0.164116483,0.029503496,0.002406278,275.151314,1.255247235,99357.07813,2,1,5,6,2
16588,31,4.843398438,6.73984375,8.582617188,2.54296875,10.54296875,0.163322516,33.59112611,7.862776877,272.8628325,1.258599758,98625.17188,2.001992188,2.90375,4.116835938,2.54296875,10.54296875,0.164067523,32.70126538,4.885146911,275.175961,1.255486965,99383.76563,2,1,5,7,2
17324,32,5.130195313,7.093671875,8.80515625,2.54296875,10.54296875,0.163302995,169.2630633,43.10206604,273.1246369,1.258611918,98622.36719,2.061835938,2.915976563,3.855273438,2.54296875,10.54296875,0.164030521,167.5231323,34.33053589,275.6127667,1.255295038,99415.40625,2,1,5,8,2
17888,33,5.352578125,7.368359375,8.99046875,2.54296875,10.54296875,0.163266912,289.2548828,82.10215759,273.4860234,1.257853031,98615.41406,2.112539063,2.905078125,3.583515625,2.54296875,10.54296875,0.163994572,287.4326172,78.5435791,276.1606917,1.254250526,99436.26563,2,1,5,9,2
18265,34,5.479492188,7.522226563,9.1,2.54296875,10.54296875,0.16323187,360.3291016,113.0650635,273.8525283,1.256440401,98591.48438,2.04796875,2.776601563,3.340351563,2.54296875,10.54296875,0.16395066,358.4521484,116.5002747,276.6982546,1.25232172,99428.96875,2,1,5,10,2
18329,35,5.515390625,7.565390625,9.143554688,2.54296875,10.54296875,0.163203291,377.6264648,120.3220825,274.1396585,1.254784822,98554.50781,1.911523438,2.582539063,3.092773438,2.54296875,10.54296875,0.163911946,375.7382813,134.6239014,277.1569405,1.250017285,99399.4375,2,1,5,11,2
18394,36,5.48109375,7.533125,9.160898438,2.54296875,10.54296875,0.163161173,339.9829102,101.1817322,274.2189333,1.25369668,98521.95313,1.731445313,2.361875,2.867460938,2.54296875,10.54296875,0.163870013,338.1130371,124.6324463,277.4138107,1.248167038,99369.28906,2,1,5,12,2
18540,37,5.382070313,7.42453125,9.198398438,2.54296875,10.54296875,0.163128603,249.9614258,62.7784729,274.0041906,1.253775835,98504.78125,1.426953125,2.038046875,2.688203125,2.54296875,10.54296875,0.163833068,248.1320801,87.31874084,277.3067951,1.247253895,99346.14844,2,1,5,13,2
18754,38,5.239882813,7.27328125,9.281132813,2.54296875,10.54296875,0.163094669,114.7268173,20.43891907,273.4768484,1.255073309,98495.82031,1.09140625,1.761679688,2.742617188,2.54296875,10.54296875,0.16379524,113.0598755,33.66766167,276.5454912,1.247368336,99328.45313,2,1,5,14,2
19192,39,5.196757813,7.248554688,9.449570313,2.54296875,10.54296875,0.163064079,8.824958162,0.986194561,272.8686564,1.257193565,98501.82813,1.112890625,1.874335938,3.11078125,2.54296875,10.54296875,0.163759679,8.461687343,1.855963742,275.7063886,1.248086572,99311.73438,2,1,5,15,2
19913,40,5.296289063,7.386484375,9.581132813,2.54296875,10.54296875,0.163035517,0,0,272.4915668,1.259379506,98518.54688,1.371054688,2.2134375,3.549257813,2.54296875,10.54296875,0.163721081,0,0,275.4866167,1.249089718,99289.90625,2,1,5,16,2
20215,41,5.350195313,7.45109375,9.590664063,2.54296875,10.54296875,0.163004206,0,0,272.1922967,1.261407614,98537.65625,1.671875,2.600195313,4.012929688,2.54296875,10.54296875,0.163686853,0,0,275.280497,1.250164747,99255.3125,2,1,5,17,2
20108,42,5.344335938,7.43328125,9.514648438,2.54296875,10.54296875,0.162972279,0,0,271.9252721,1.26309216,98548.14844,1.950234375,2.967304688,4.468164063,2.54296875,10.54296875,0.163660326,0,0,275.0411614,1.251209497,99210.71094,2,1,5,18,2
19693,43,5.321328125,7.392851563,9.434023438,2.54296875,10.54296875,0.162931241,0,0,271.710413,1.264296055,98549.23438,2.194335938,3.288164063,4.867109375,2.54296875,10.54296875,0.163623968,0,0,274.8006428,1.252238035,99158.86719,2,1,5,19,2
19202,44,5.269257813,7.314453125,9.3171875,2.54296875,10.54296875,0.162900692,0,0,271.5419018,1.2651366,98544.19531,2.4128125,3.566445313,5.198476563,2.54296875,10.54296875,0.163597172,0,0,274.5729113,1.253178239,99098.53125,2,1,5,20,2
18460,45,5.23203125,7.260078125,9.239609375,2.54296875,10.54296875,0.162862349,0,0,271.4123868,1.265651464,98531.33594,2.611875,3.809375,5.486484375,2.54296875,10.54296875,0.163560886,0,0,274.3566023,1.253979683,99038.38281,2,1,5,21,2
18772,46,5.199492188,7.217148438,9.18265625,2.54296875,10.54296875,0.162824161,0,0,271.2973629,1.265858054,98504.39063,2.84046875,4.101445313,5.783359375,2.54296875,10.54296875,0.163531413,0,0,274.16732,1.254680276,98987.72656,2,1,5,22,2
